seed,fold,unit,event,fips,rmse_own,rmse_donor_median,percentile,donor_sd,rmse_donor_min,rmse_donor_max
0,4,2318,2024-02-27,16073,0.005688192,0.0058675422333180904,0.405,0.0006860913708806038,0.005166000686585903,0.007245929911732674
0,4,2320,2024-02-27,16087,0.010882112,0.011494208127260208,0.06,0.0006625697133131325,0.010791671462357044,0.01288588996976614
0,4,2324,2024-02-27,17043,0.002908793,0.0031946199014782906,0.02,0.0002962611906696111,0.002885364694520831,0.0038449375424534082
0,4,2325,2024-02-27,17047,0.0018905542,0.0019707069732248783,0.38,0.00022517694742418826,0.0017579648410901427,0.002470170147716999
0,4,2328,2024-02-27,17073,0.0024935482,0.0025914423167705536,0.115,0.00012165513908257708,0.002456273417919874,0.002840838860720396
0,4,2329,2024-02-27,17077,0.0019000844,0.0017756749875843525,0.84,6.967201625229791e-05,0.0017095034709200263,0.001937585766427219
0,4,2331,2024-02-27,17097,0.0033687414,0.0033084459137171507,0.58,0.00023964728461578488,0.0030871867202222347,0.003857053117826581
0,4,2334,2024-02-27,17153,0.001998809,0.0019683779682964087,0.605,8.357357728527859e-05,0.0018888842314481735,0.0021542473696172237
0,4,2352,2024-02-27,18129,0.0026223876,0.0026044673286378384,0.55,0.00021113203547429293,0.0024191143456846476,0.003095862455666065
0,4,2359,2024-02-27,21017,0.003058169,0.0035130032338202,0.07,0.0007325684418901801,0.002970400033518672,0.005305923987179995
0,4,2364,2024-02-27,21045,0.0016444888,0.0016902615316212177,0.48,0.0003555982548277825,0.001358929555863142,0.0024557618889957666
0,4,2366,2024-02-27,21049,0.0021701606,0.0024503888562321663,0.145,0.0004881775239482522,0.002089529298245907,0.0036607999354600906
0,4,2377,2024-02-27,21101,0.0027763098,0.002656147815287113,0.58,0.0003681733214762062,0.0023706110659986734,0.003582477103918791
0,4,2380,2024-02-27,21125,0.0027004783,0.002709783846512437,0.42,4.493888991419226e-05,0.0026085148565471172,0.0027504500467330217
0,4,2382,2024-02-27,21149,0.0022445708,0.002485531847923994,0.115,0.00033549964427948,0.002170334570109844,0.00331375771202147
0,4,2395,2024-02-27,23029,0.020890338,0.013210263103246689,0.995,0.0029563407879322767,0.011962056159973145,0.020906655117869377
0,4,2396,2024-02-27,25003,0.03906895,0.013874351046979427,0.97,0.010391626507043839,0.00807489175349474,0.03976186364889145
0,4,2401,2024-02-27,25017,0.008484976,0.0039047340396791697,0.875,0.0021216790191829205,0.002837071195244789,0.00952985044568777
0,4,2405,2024-02-27,25027,0.013131264,0.004623090382665396,0.975,0.003218533005565405,0.0032700139563530684,0.013302596285939217
0,4,2406,2024-02-27,26025,0.007822112,0.007890094071626663,0.31,7.08639418007806e-05,0.007738031446933746,0.00795961543917656
0,4,2407,2024-02-27,26049,0.0037927304,0.0038154160138219595,0.3,2.57827814493794e-05,0.003768980735912919,0.0038533040788024664
0,4,2408,2024-02-27,26159,0.004719219,0.004198037087917328,0.845,0.0002846839197445661,0.003957657143473625,0.004873935598880053
0,4,2409,2024-02-27,28081,0.0010415117,0.0009382321732118726,0.865,5.419284934760071e-05,0.0008819883223623037,0.0010654020588845015
0,4,2412,2024-02-27,29031,0.0022222705,0.0022553750313818455,0.22,6.642084917984903e-05,0.002193849766626954,0.0024159764871001244
0,4,2415,2024-02-27,29143,0.0016114219,0.0016411102842539549,0.33,6.448347994592041e-05,0.0015667109983041883,0.0017851731972768903
0,4,2419,2024-02-27,29223,0.0014409869,0.0013332078233361244,0.885,5.391149170463905e-05,0.0012879417045041919,0.0014680919703096151
0,4,2422,2024-02-27,30013,0.002416644,0.0022842981852591038,0.845,9.673140448285267e-05,0.002144317142665386,0.0025253817439079285
0,4,2429,2024-02-27,30045,0.0018534823,0.0017589132767170668,0.775,7.60053881094791e-05,0.001653835759498179,0.0019489182159304619
0,4,2443,2024-02-27,32007,0.003679934,0.004420950077474117,0.28,0.0020151392091065645,0.0032973107881844044,0.009092828258872032
0,4,2448,2024-02-27,32021,0.0137076145,0.013742005452513695,0.415,0.0004461353237275034,0.013652202673256397,0.015022270381450653
0,4,2450,2024-02-27,32027,0.013823651,0.016026485711336136,0.04,0.0026697865687310696,0.013593005947768688,0.022008702158927917
0,4,2451,2024-02-27,32029,0.014465197,0.01615271344780922,0.09,0.0025526019744575024,0.01410848181694746,0.021643923595547676
0,4,2465,2024-02-27,35031,0.005111816,0.005239391699433327,0.35,0.0006845951429568231,0.0049170395359396935,0.007004534360021353
0,4,2471,2024-02-27,35047,0.003224025,0.0032762964256107807,0.37,0.00019306402828078717,0.003070024773478508,0.003686390118673444
0,4,2477,2024-02-27,35061,0.0019287877,0.0020524507854133844,0.12,0.00023015556507743895,0.0019023371860384941,0.002583443420007825
0,4,2479,2024-02-27,36007,0.004564429,0.0026259412989020348,0.83,0.0009688617428764701,0.002170032588765025,0.005098019726574421
0,4,2481,2024-02-27,36019,0.027552193,0.00979695376008749,0.945,0.007478807121515274,0.006513557396829128,0.02810627967119217
0,4,2486,2024-02-27,36035,0.046174344,0.05881891027092934,0.26,0.00859482865780592,0.041226308792829514,0.06503235548734665
0,4,2492,2024-02-27,36055,0.010162541,0.011042393743991852,0.43,0.004802817478775978,0.007926473394036293,0.022481413558125496
0,4,2504,2024-02-27,36103,0.0066194786,0.006888221018016338,0.43,0.002336609410122037,0.0058285826817154884,0.013519106432795525
0,4,2508,2024-02-27,36117,0.019139957,0.025972694158554077,0.06,0.003188061760738492,0.01893491856753826,0.02834249846637249
0,4,2520,2024-02-27,39097,0.01820719,0.018701335415244102,0.225,0.00034856487764045596,0.017880460247397423,0.018985513597726822
0,4,2531,2024-02-27,40039,0.0016731382,0.0016958576161414385,0.255,7.388169615296647e-05,0.001644228002987802,0.00186918827239424
0,4,2537,2024-02-27,41045,0.015108987,0.016032816842198372,0.175,0.0013427906669676304,0.014794611372053623,0.018897565081715584
0,4,2542,2024-02-27,45003,0.0024396891,0.0021065576002001762,0.84,0.00018509307119529694,0.0019394635455682874,0.002534607658162713
0,4,2543,2024-02-27,45007,0.0044248546,0.004437630996108055,0.465,0.0001159256134997122,0.004170592408627272,0.004535367246717215
0,4,2549,2024-02-27,45065,0.0021418782,0.001999055501073599,0.89,6.867088814033195e-05,0.0019398045260459185,0.0021723927929997444
0,4,2562,2024-02-27,47073,0.003478082,0.0034919199533760548,0.42,5.919687828281894e-05,0.0034481408074498177,0.003639273578301072
